ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
7677,8.583213,-3.792415,-1.927332,1.293009,-1.510043,1.125937,-33.144600,26.545675,22.946262
7731,9.385271,-3.701436,-2.303222,1.474870,-1.240250,1.131266,-32.244747,21.596481,19.496824
7784,7.795521,-5.006276,-2.291251,1.485395,-1.164841,0.974587,-31.044943,19.946751,19.496824
7838,9.224859,-5.094861,-2.784456,1.717484,-1.350432,1.303268,-30.295065,15.297508,15.297508
7893,7.812280,-5.968745,-2.624045,1.553476,-0.930487,0.766080,-26.995602,9.898388,13.197850
7947,7.331046,-6.222530,-2.576161,1.466077,-1.163908,0.456583,-26.995602,8.848558,12.897899
8001,7.139510,-6.617573,-2.588132,1.467276,-1.432636,-0.011191,-26.845627,7.048851,12.297997
8055,7.026982,-6.852205,-2.628834,1.525631,-1.508044,-0.070746,-24.895945,5.849047,11.248168
8109,7.043741,-7.165846,-2.937685,1.560138,-1.627286,-0.342404,-23.696140,3.149487,10.048363
8163,6.560112,-6.924031,-2.463634,1.494721,-2.023782,-0.604870,-25.345871,4.199316,7.798729
8216,6.854599,-5.937620,-1.953669,1.594112,-1.956501,-0.929688,-23.696140,4.199316,8.248656
8270,6.830657,-5.437232,-1.750161,1.297139,-2.006329,-0.931819,-21.446507,3.449438,5.549096
8323,6.500257,-5.679047,-1.728614,1.275289,-1.771976,-1.234654,-21.596481,3.299463,3.449438
8376,7.261614,-5.753267,-2.037466,1.101956,-1.374147,-0.790594,-22.046408,4.799218,3.449438
8429,7.479486,-5.722142,-2.255338,0.788995,-1.111415,-0.594211,-21.296530,5.249145,1.949682
8481,7.666234,-6.957550,-3.093309,0.649636,-0.691204,0.231822,-19.346848,3.599414,1.949682
8534,6.890512,-7.232883,-3.608062,0.494421,-0.349732,0.531593,-17.997068,3.449438,1.799707
8586,5.252879,-8.480263,-2.758120,0.415815,-0.789528,0.642974,-17.397165,0.449927,1.949682
8639,5.784391,-8.930372,-2.841918,0.711455,-0.684142,0.891051,-14.397655,-0.149976,-0.149976
8691,4.632780,-8.058883,-2.082955,0.776072,-0.504014,0.401959,-12.597948,-2.249634,1.499756
8744,5.310339,-7.757214,-1.589750,0.869067,-0.523466,0.226227,-11.398143,-2.699560,2.249634
8797,4.086902,-7.211336,-1.695095,0.760750,-0.547847,-0.096326,-10.498290,-5.699071,2.399609
8849,5.140351,-6.414066,-1.338359,0.380375,-0.444459,-1.009760,-11.698094,-4.049340,2.699560
8902,5.209783,-9.198523,-1.912967,0.483496,-0.369850,-0.757420,-13.047874,-5.099169,3.749389
8955,6.543353,-6.572083,-2.592921,0.327216,-0.619659,-0.728375,-11.398143,-3.899365,3.749389
9007,6.356606,-7.170634,-2.557007,-0.358792,-0.391700,-1.033475,-11.998045,-2.099658,1.649731
9061,8.848969,-7.256825,-2.382231,-0.567965,0.111515,-1.139927,-14.697606,-1.349780,0.149976
9115,7.556100,-7.144298,-2.576161,-0.255005,0.111381,-0.664025,-14.847581,0.749878,1.049829
9169,7.354988,-5.983110,-2.329558,-0.032908,-0.455651,-0.812977,-14.847581,1.049829,1.049829
9223,8.547300,-6.409278,-2.585738,0.366786,-0.224761,-0.319888,-17.397165,2.549585,0.899853
9276,7.570466,-5.925649,-2.930503,0.500683,-0.118709,0.126170,-16.797264,1.499756,-0.299951
9330,6.500257,-6.663064,-3.045424,0.356793,-0.346268,-0.262599,-15.897410,1.349780,1.199805
9385,6.495469,-6.397307,-3.217807,0.418613,-0.160544,0.117110,-16.497313,1.049829,0.749878
9438,6.701371,-6.212954,-3.244143,0.171735,-0.054358,0.032775,-16.647287,-0.449927,1.649731
9492,7.505822,-6.339846,-3.313575,-0.192253,0.017054,-0.032375,-16.197361,0.149976,1.649731
9546,7.232883,-6.646304,-3.205836,-0.233421,-0.131499,-0.175865,-15.747435,0.000000,1.499756
9600,7.237672,-6.684611,-3.114856,-0.002931,-0.130700,0.091263,-15.897410,1.349780,0.449927
9654,7.730877,-6.296751,-3.277662,0.199714,-0.200513,0.108583,-16.197361,0.149976,1.649731
9708,7.338228,-5.679047,-3.457227,0.222230,-0.279386,0.244213,-14.847581,-0.299951,0.749878
9762,6.725313,-6.040571,-3.311181,0.122972,-0.371049,0.035573,-13.947728,-0.149976,0.449927
9816,6.555324,-6.548141,-3.402161,0.147354,-0.350798,-0.052227,-14.547630,0.000000,-0.299951
9870,6.588843,-6.617573,-3.380613,0.263132,-0.329081,0.056890,-13.947728,-0.899853,-0.449927
9924,6.531382,-6.215348,-3.380613,0.230357,-0.297372,-0.003997,-11.398143,-1.499756,0.000000
9979,6.612785,-6.392519,-3.258508,0.083936,-0.193851,-0.073810,-11.398143,-1.949682,-0.299951
10033,6.983886,-6.744466,-3.327940,0.049162,-0.206908,-0.099790,-12.447972,-1.649731,0.899853
10085,6.643910,-7.058106,-3.213019,0.170936,-0.267395,-0.023982,-11.848070,-1.949682,0.000000
10138,6.969521,-6.615179,-3.459621,0.313626,-0.214902,0.110449,-11.248168,-2.549585,0.149976
10191,6.687006,-6.368577,-3.342306,0.177064,-0.145755,0.112980,-11.098192,-3.149487,0.299951
10244,6.502652,-6.493075,-3.344700,0.041302,-0.037305,-0.043300,-11.248168,-3.299463,-0.449927
10296,6.567295,-6.524199,-3.380613,-0.018253,0.022916,0.062485,-10.048363,-3.299463,0.449927
10349,6.828263,-6.651093,-3.485958,-0.121240,0.053959,-0.027579,-10.048363,-3.299463,-0.899853
10401,6.497863,-6.514623,-3.387795,-0.152283,0.047297,-0.003864,-10.348314,-3.449438,0.749878
10454,6.406884,-6.821081,-3.421314,-0.185191,0.083536,-0.081538,-10.348314,-3.149487,-1.049829
10506,6.495469,-6.622362,-3.593697,-0.202112,0.101522,-0.098325,-10.948216,-0.899853,-1.649731
10559,7.275979,-6.404490,-4.036624,-0.344936,0.152283,-0.133897,-11.698094,-1.349780,0.149976
10611,7.601591,-6.076484,-4.364630,-1.042934,0.078606,-0.976052,-13.197850,-0.449927,-1.199805
10664,7.240066,-6.816292,-4.170700,-1.164041,-0.008527,-0.665890,-14.097703,3.449438,-4.049340
10717,7.891289,-5.698200,-4.395754,-0.903574,0.034507,-0.571162,-13.797752,5.099169,-4.499267
10770,7.951144,-4.814740,-4.582502,-0.757020,-0.178530,-0.258469,-14.547630,6.298974,-6.298974
10825,7.987057,-3.327940,-4.872200,-0.812711,-0.246211,-0.568098,-15.897410,10.348314,-6.148998
