ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
2271,1.043872,9.485827,1.046266,-0.007861,0.003198,0.007727,18.147043,56.090862,6.148998
2274,1.003170,9.504981,1.017536,-0.007594,0.006395,0.002531,17.847092,56.840740,5.399120
2278,1.029507,9.526528,1.024718,-0.004397,0.004397,0.006928,17.847092,56.840740,5.399120
2281,1.010353,9.514558,0.991199,-0.012657,0.004263,0.004397,17.847092,56.840740,5.399120
2285,1.010353,9.516952,1.019930,-0.012257,0.004397,0.003464,18.147043,57.590618,6.898876
2289,1.029507,9.519346,0.998382,-0.009060,0.007861,0.001332,18.147043,57.590618,6.898876
2292,1.053449,9.536105,0.967257,-0.006795,0.001865,0.003730,17.097216,55.191010,5.399120
2296,1.048660,9.504981,1.012747,-0.005729,0.005329,0.006662,17.097216,55.191010,5.399120
2300,1.074997,9.562442,0.974440,-0.007328,0.006262,0.005729,17.097216,55.191010,5.399120
2303,0.988805,9.471462,1.048660,-0.006528,0.000933,0.001466,17.097216,55.191010,5.399120
2307,0.936133,9.490616,0.995988,-0.008660,0.007061,0.008127,17.097216,55.191010,5.399120
2310,1.022324,9.533711,1.003170,-0.011591,0.008394,0.006528,17.097216,55.191010,5.399120
2314,0.976834,9.507375,0.993594,-0.007328,0.005862,0.000933,18.446995,55.041035,5.549096
2317,0.936133,9.461885,0.988805,-0.008926,0.004930,0.001998,18.446995,55.041035,5.549096
2373,1.007959,9.567230,1.007959,-0.005462,0.002665,0.002132,17.397165,56.090862,5.399120
2377,1.027112,9.538500,1.015141,-0.006928,0.004263,0.008127,17.397165,56.090862,5.399120
2381,1.000776,9.521740,0.993594,-0.005729,-0.000666,-0.001865,17.397165,56.090862,5.399120
2384,1.003170,9.512163,0.993594,-0.003864,0.004796,0.001865,17.997068,56.690765,7.048851
2388,0.993594,9.471462,1.043872,-0.004130,-0.001599,0.000799,17.997068,56.690765,7.048851
2391,1.079785,9.521740,1.012747,-0.007328,0.003064,0.005995,17.997068,56.690765,7.048851
2395,1.046266,9.533711,1.010353,-0.004796,0.004930,0.003064,16.647287,55.640934,5.399120
2399,0.979228,9.473856,0.976834,-0.008793,0.005862,0.002531,16.647287,55.640934,5.399120
2402,0.981623,9.543288,1.010353,-0.002398,0.004530,0.004397,18.446995,56.690765,5.399120
2406,1.036689,9.572019,0.995988,-0.006928,0.004397,0.005063,18.446995,56.690765,5.249145
2409,1.031901,9.485827,1.024718,-0.008527,0.006395,0.008394,18.446995,56.690765,5.249145
2413,0.964863,9.497798,1.022324,-0.011724,0.002665,0.004663,17.547142,55.790913,5.249145
2416,1.003170,9.550470,1.012747,-0.005995,0.004263,0.000933,17.547142,55.790913,6.298974
2420,1.029507,9.519346,0.957681,-0.006928,0.002531,0.003331,17.547142,55.790913,6.298974
2423,0.974440,9.524135,0.976834,-0.008926,0.001865,0.005329,17.547142,56.240837,5.999022
